1	19	_	CD	CD	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	We	_	PRP	PRP	_	7	nsubj	_	_
2	may	_	MD	MD	_	7	aux	_	_
3	in	_	IN	IN	_	7	prep	_	_
4	our	_	PRP$	PRP$	_	6	poss	_	_
5	absolute	_	JJ	JJ	_	6	amod	_	_
6	discretion	_	NN	NN	_	3	pobj	_	_
7	accept	_	VB	VB	_	0	null	_	_
8	or	_	CC	CC	_	7	cc	_	_
9	reject	_	VB	VB	_	7	conj	_	_
10	any	_	DT	DT	_	12	det	_	_
11	product	_	NN	NN	_	12	nn	_	_
12	review	_	NN	NN	_	9	dobj	_	_
13	which	_	WDT	WDT	_	16	nsubjpass	_	_
14	may	_	MD	MD	_	16	aux	_	_
15	be	_	VB	VB	_	16	auxpass	_	_
16	submitted	_	VBN	VBN	_	12	rcmod	_	_
17	to	_	TO	TO	_	16	prep	_	_
18	us	_	PRP	PRP	_	17	pobj	_	_
19	and	_	CC	CC	_	7	cc	_	_
20	may	_	MD	MD	_	21	aux	_	_
21	edit	_	VB	VB	_	7	conj	_	_
22	any	_	DT	DT	_	24	det	_	_
23	such	_	JJ	JJ	_	24	amod	_	_
24	review	_	NN	NN	_	21	dobj	_	_
25	for	_	IN	IN	_	21	prep	_	_
26	both	_	DT	DT	_	27	preconj	_	_
27	length	_	NN	NN	_	25	pobj	_	_
28	and/or	_	CC	CC	_	27	cc	_	_
29	content	_	NN	NN	_	27	conj	_	_
30	as	_	IN	IN	_	32	mark	_	_
31	we	_	PRP	PRP	_	32	nsubj	_	_
32	see	_	VBP	VBP	_	21	advcl	_	_
33	fit	_	NN	NN	_	32	dobj	_	_
34	.	_	.	.	_	7	punct	_	_

1	All	_	DT	DT	_	2	det	_	_
2	reviews	_	NNS	NNS	_	4	nsubjpass	_	_
3	are	_	VBP	VBP	_	4	auxpass	_	_
4	submitted	_	VBN	VBN	_	0	null	_	_
5	on	_	IN	IN	_	4	prep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	basis	_	NN	NN	_	5	pobj	_	_
